reg_id,clause,considered_references,policy_id,deviation_index,deviation_found,article,gdpr_requirement,policy_realization,deviation_type,gdpr_quote,policy_quote,mismatch,analysis
REG-035,Art14(3),"[""Art20(2)"", ""Art23(1)""]",,1,True,,,,Severity deviation,"The oversight measures shall be commensurate with the risks, level of autonomy and context of use of the high-risk AI system...",Applies to: All AI systems.,"The regulation targets oversight for high-risk AI systems, while the policy scopes oversight processes to all AI systems (broader/stricter scope).","Policy extends oversight applicability beyond high-risk AI systems; this is over-compliance in scope, not a contradiction."
REG-001,Art8(1),"[""Art6(3)"", ""Art6(4)"", ""Art8(1)"", ""Art8(2)"", ""Art8(3)"", ""Art9(2)"", ""Art9(4)"", ""Art13(1)""]",,,False,,,,,,,,
REG-034,Art14(2),"[""Art20(2)"", ""Art23(1)""]",,1,True,,,,Severity deviation,"Human oversight shall aim to prevent or minimise the risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used...",Applies to: All AI systems.,"The regulation frames human oversight around high-risk AI systems, while the policy applies oversight processes to all AI systems (broader/stricter scope).",Scope of application is expanded beyond high-risk AI systems; this is over-compliance in scope.
REG-008,Art9(6),"[""Art9(2)""]",,,False,,,,,,,,
REG-030,Art13(6),"[""Art17(2)"", ""Art17(3)"", ""Art18(1)"", ""Art18(2)"", ""Art20(1)"", ""Art20(2)""]",,,False,,,,,,,,
REG-043,Art26(1),"[""Art23(1)"", ""Art26(2)""]",,,False,,,,,,,,
REG-091,,[],,,False,,,,,,,,
REG-051,Art26(9),"[""Art17(2)"", ""Art17(3)"", ""Art18(1)"", ""Art18(2)"", ""Art20(1)"", ""Art20(2)""]",,,False,,,,,,,,
REG-025,Art13(1),"[""Art17(2)"", ""Art17(3)"", ""Art18(1)"", ""Art18(2)"", ""Art20(1)"", ""Art20(2)""]",,,False,,,,,,,,
REG-050,Art26(8),[],,,False,,,,,,,,
REG-033,Art14(1),"[""Art20(2)"", ""Art23(1)""]",,1,True,,,,Severity deviation,"High-risk AI systems shall be designed and developed in such a way, including with appropriate human-machine interface tools, that they can be effectively overseen by natural persons...",Applies to: All AI systems.,"The regulation’s requirement targets high-risk AI systems, while the policy applies oversight-related controls across all AI systems (broader/stricter scope).",Policy broadens scope beyond high-risk systems; this is an over-compliance deviation in scope.
REG-010,Art9(8),"[""Art9(2)""]",,,False,,,,,,,,
